stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,0.5,9.0,19.463708100141957,,19.448498000157997,19.463708100141957,19.963854599976912,19.963854599976912,19.963854599976912,20.263815000187606,21.3318292000331,right,9.0,1,1,1.3546178000979125,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
16,0.5,9.0,21.347168300068006,,21.331969200167805,21.347168300068006,21.847233599983156,21.847233599983156,21.847233599983156,22.147093100007623,22.298715200042352,right,9.0,0,0,0.4466199998278171,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
17,0.5,9.5,22.313796099973843,,22.298873800085858,22.313796099973843,22.813947200076655,22.813947200076655,22.813947200076655,23.11385289998725,23.348488900111988,left,-9.5,1,1,0.52612299984321,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
18,0.5,9.5,23.363888200139627,,23.34860790008679,23.363888200139627,23.86400600010529,23.86400600010529,23.86400600010529,24.16377010010183,25.314958200091496,left,-9.5,1,1,1.4358796998858452,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
19,0.5,9.5,25.330603600014,,25.315083000110462,25.330603600014,25.830976500175893,25.830976500175893,25.830976500175893,26.130544200073928,27.615004900144413,right,9.5,0,0,1.7796674999408424,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
20,0.5,10.0,27.63048760010861,,27.615128400037065,27.63048760010861,28.130719100125134,28.130719100125134,28.130719100125134,28.4305998000782,28.68171830009669,left,-10.0,0,0,0.5341556998901069,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
21,0.5,10.5,28.69730870006606,,28.681846900144592,28.69730870006606,29.197399200173095,29.197399200173095,29.197399200173095,29.49749940005131,29.648665900109336,left,-10.5,1,1,0.43588360003195703,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
22,0.5,10.5,29.66491200006567,,29.648829500190914,29.66491200006567,30.16416380018927,30.16416380018927,30.16416380018927,30.46399740013294,30.665283299982548,right,10.5,1,1,0.49539269995875657,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
23,0.5,10.5,30.68091950006783,,30.665392300114036,30.68091950006783,31.1809553001076,31.1809553001076,31.1809553001076,31.480685400078073,31.565151100046933,right,10.5,0,0,0.3672165998723358,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
24,0.5,11.0,31.581028500106186,,31.565277400193736,31.581028500106186,32.08074300014414,32.08074300014414,32.08074300014414,32.38072000001557,32.73218150017783,right,11.0,0,0,0.6483064999338239,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
25,0.5,11.5,32.74749179999344,,32.73229800001718,32.74749179999344,33.247497300151736,33.247497300151736,33.247497300151736,33.54740749998018,33.66551580000669,left,-11.5,0,0,0.4070023000240326,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
26,0.5,12.0,33.68080610013567,,33.66563670011237,33.68080610013567,34.180917400168255,34.180917400168255,34.180917400168255,34.48080350016244,35.08182179997675,left,-12.0,1,1,0.8947600999381393,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
27,0.5,12.0,35.09737590001896,,35.08193670003675,35.09737590001896,35.59754920005798,35.59754920005798,35.59754920005798,35.89748230017722,36.29866029997356,right,12.0,1,1,0.6919960000086576,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
28,0.5,12.0,36.31421079998836,,36.29877690016292,36.31421079998836,36.81432880018838,36.81432880018838,36.81432880018838,37.114369300194085,37.68217990011908,left,-12.0,0,0,0.8654757000040263,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
29,0.5,12.5,37.69761240016669,,37.68229779996909,37.69761240016669,38.19756150012836,38.19756150012836,38.19756150012836,38.49755740002729,38.715362300165,right,12.5,0,0,0.509469399927184,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
30,0.5,13.0,38.730871099978685,,38.7154880000744,38.730871099978685,39.231068700086325,39.231068700086325,39.231068700086325,39.53093190002255,39.682311800075695,left,-13.0,1,1,0.43643009988591075,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
31,0.5,13.0,39.69759160000831,,39.682435099966824,39.69759160000831,40.19777079997584,40.19777079997584,40.19777079997584,40.49793149996549,40.58202910004184,left,-13.0,1,1,0.36725870007649064,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
32,0.5,13.0,40.59767649997957,,40.58213830017485,40.59767649997957,41.09776320005767,41.09776320005767,41.09776320005767,41.397629800019786,41.51572470017709,right,13.0,1,1,0.416768099879846,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
33,0.5,12.5,41.531149100046605,,41.51586230006069,41.531149100046605,42.03121730010025,42.03121730010025,42.03121730010025,42.33115950017236,42.93240200006403,left,-12.5,1,1,0.886572299990803,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
34,0.5,12.5,42.94775769999251,,42.93256100011058,42.94775769999251,43.447810700163245,43.447810700163245,43.447810700163245,43.74779180018231,43.9155712001957,left,-12.5,1,1,0.4583011001814157,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
35,0.5,12.5,43.93102780007757,,43.91568149998784,43.93102780007757,44.43119839997962,44.43119839997962,44.43119839997962,44.731137100141495,45.01561890006997,left,-12.5,1,1,0.580959000159055,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
36,0.5,12.0,45.03106479998678,,45.015792899997905,45.03106479998678,45.53124320018105,45.53124320018105,45.53124320018105,45.83107560011558,45.982684100046754,left,-12.0,0,0,0.447336999932304,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
37,0.5,12.5,45.997884900076315,,45.98281179997139,45.997884900076315,46.4979095000308,46.4979095000308,46.4979095000308,46.798080400098115,47.165874200174585,right,12.5,0,0,0.6575120000634342,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
38,0.5,13.0,47.18118209997192,,47.165994200157,47.18118209997192,47.68133429996669,47.68133429996669,47.68133429996669,47.9810830000788,48.19911990012042,right,13.0,1,1,0.5073373999912292,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
39,0.5,13.0,48.21448429999873,,48.19926240015775,48.21448429999873,48.71468470012769,48.71468470012769,48.71468470012769,49.014551599975675,49.782416000030935,left,-13.0,0,0,1.0517750000581145,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
40,0.5,13.5,49.797929600114,,49.78253860003315,49.797929600114,50.29805049998686,50.29805049998686,50.29805049998686,50.59807560010813,51.315965100191534,left,-13.5,0,0,1.015421099960804,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
41,0.5,14.0,51.33146860008128,,51.31608490017243,51.33146860008128,51.83138660015538,51.83138660015538,51.83138660015538,52.13127150014043,52.2322848001495,left,-14.0,1,1,0.3845029000658542,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
42,0.5,14.0,52.247986800037324,,52.23239580006339,52.247986800037324,52.731419699965045,52.731419699965045,52.74817749997601,53.03175630001351,53.332639400148764,left,-14.0,0,0,0.5895068000536412,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
43,0.5,14.5,53.3480017001275,,53.332765500061214,53.3480017001275,53.84852910018526,53.84852910018526,53.84852910018526,54.14819160010666,54.51582690002397,left,-14.5,1,1,0.653241999913007,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
44,0.5,14.5,54.53157180012204,,54.51593710016459,54.53157180012204,55.01487750001252,55.01487750001252,55.03161590010859,55.31478979997337,55.61595640005544,left,-14.5,1,1,0.5959759999532253,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
45,0.5,14.5,55.631476200185716,,55.61606640019454,55.631476200185716,56.13166720001027,56.13166720001027,56.13166720001027,56.43148070015013,57.09932909999043,left,-14.5,1,1,0.9581599000375718,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
46,0.5,14.0,57.11485870019533,,57.09946130006574,57.11485870019533,57.614895100006834,57.614895100006834,57.614895100006834,57.91490380000323,57.98272750014439,right,14.0,1,1,0.35660130018368363,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
47,0.5,14.0,57.99824930005707,,57.9828806000296,57.99824930005707,58.49805549997836,58.49805549997836,58.49805549997836,58.79815479996614,58.916476499987766,right,14.0,0,0,0.41492730006575584,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
48,0.5,14.5,58.93186830007471,,58.916583199985325,58.93186830007471,59.43150910013355,59.43150910013355,59.43150910013355,,59.583326700143516,right,14.5,1,1,0.1467194000724703,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
49,0.5,14.5,59.59820200013928,,59.583460400113836,59.59820200013928,60.098663800163195,60.098663800163195,60.098663800163195,60.398329300107434,60.8495936000254,right,14.5,0,0,0.7422741001937538,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
50,0.5,15.0,60.864899300038815,,60.84970400016755,60.864899300038815,61.36510240007192,61.36510240007192,61.36510240007192,61.66479289997369,61.71620919997804,right,15.0,0,0,0.3485753000713885,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
51,0.5,15.5,61.73151360009797,,61.716386900050566,61.73151360009797,62.231793200131506,62.231793200131506,62.231793200131506,62.53164430009201,62.83289770013653,left,-15.5,1,1,0.5847912998870015,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
52,0.5,15.5,62.84827800001949,,62.833011800190434,62.84827800001949,63.348421700065956,63.348421700065956,63.348421700065956,63.64833680004813,63.88296200009063,left,-15.5,0,0,0.5259266998618841,182413,001,2024-09-12_12h08.03.678,adaptive staircase,2024.1.5,None,2024-09-12 12h08.19.740376 +0530,
