trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,red_square.started,polygon_2.started,key_resp_2.started,red_square.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blue_square.started,polygon_3.started,key_resp_3.started,blue_square.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,14.88316039997153,,14.868537900038064,14.88316039997153,14.88316039997153,15.134882200043648,right,0.24245160003192723,None,15.136172099970281,15.149888300104067,15.149888300104067,15.417583600152284,left,0.26324610016308725,None,15.41819110000506,15.433431700104848,15.433431700104848,15.76787310000509,right,0.32176239998079836,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
11,0,11,0,15.783145599998534,,15.76870290003717,15.783145599998534,15.783145599998534,15.984674700070173,right,0.19989720010198653,None,15.98531510005705,16.000126200029626,16.000126200029626,16.234452500008047,left,0.22232490009628236,None,16.234978100052103,16.249916800064966,16.249916800064966,18.46836580010131,right,2.2084127999842167,None,17.2495421001222,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
12,0,12,0,18.48340869997628,,18.46992649999447,18.48340869997628,18.48340869997628,19.0518418001011,left,0.5644388000946492,None,19.053208300145343,19.06704240012914,19.06704240012914,20.26792460004799,left,1.1915368000045419,None,20.268545600119978,20.283249099971727,20.283249099971727,20.70132840005681,right,0.4044447001069784,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
13,0,13,0,20.71667160000652,,20.70231380010955,20.71667160000652,20.71667160000652,22.05156090017408,right,1.3261288998182863,None,22.052092800149694,22.06683270004578,22.06683270004578,23.051286699948832,left,0.9791538000572473,None,23.05181570001878,23.066938300151378,23.066938300151378,24.234193000011146,right,1.160825700033456,None,24.066710700048134,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
14,0,14,0,24.2505189999938,,24.235586900031194,24.2505189999938,24.2505189999938,25.401597399963066,left,1.1435096999630332,None,25.402202100027353,25.416844099992886,25.416844099992886,26.168163400143385,left,0.7416274000424892,None,26.16869039996527,26.18363710003905,26.18363710003905,26.65185929997824,right,0.4602496000006795,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
15,0,15,0,26.666828700108454,,26.652920600026846,26.666828700108454,26.666828700108454,27.634871300077066,left,0.9544305999297649,None,27.635424900101498,27.650277400156483,27.650277400156483,28.818111500004306,left,1.155737599823624,None,28.818642100086436,28.833589600166306,28.833589600166306,29.651351999957114,right,0.8028315000701696,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
16,0,16,0,29.66701430012472,,29.65217710006982,29.66701430012472,29.66701430012472,30.068117500049993,right,0.3888417000416666,None,30.068716400070116,30.083565399982035,30.083565399982035,30.517962699988857,left,0.41743719996884465,None,30.518614900065586,30.533763100160286,30.533763100160286,31.218125500017777,right,0.6814770000055432,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
17,0,17,0,31.23375630006194,,31.21900640008971,31.23375630006194,31.23375630006194,31.702031400054693,right,0.4632143001072109,None,31.70258369995281,31.7170688000042,31.7170688000042,32.11866530007683,left,0.3998229999560863,None,32.119440800044686,32.1338019000832,32.1338019000832,33.95152939995751,right,1.8074799999594688,None,33.13369349995628,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
18,0,18,0,33.967057400150225,,33.95240790001117,33.967057400150225,33.967057400150225,34.48503980017267,left,0.5067366999574006,None,34.485565199982375,34.500452999956906,34.500452999956906,35.40169580001384,left,0.8912045999895781,None,35.40221540001221,35.41705729998648,35.41705729998648,36.452001500176266,right,1.0214080999139696,None,36.41672460013069,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
19,0,19,0,36.467030900064856,,36.45283400011249,36.467030900064856,36.467030900064856,36.90180000010878,right,0.425705699948594,None,36.9023215000052,36.91717620007694,36.91717620007694,38.25164999999106,left,1.3227994001936167,None,38.25221149995923,38.267054200172424,38.267054200172424,38.76820249995217,right,0.49702430004253983,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
20,0,20,0,38.78401069995016,,38.769121000077575,38.78401069995016,38.78401069995016,39.61863650009036,left,0.8322228000033647,None,39.619139400077984,39.63384780008346,39.63384780008346,41.40214919997379,left,1.7662414000369608,None,41.40266210003756,41.41714860009961,41.41714860009961,42.351540100062266,right,0.9214000999927521,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
21,0,21,0,42.36723110009916,,42.352615100098774,42.36723110009916,42.36723110009916,42.90154780005105,right,0.5238439000677317,None,42.902100699953735,42.917444500140846,42.917444500140846,44.26848369999789,left,1.3410096000880003,None,44.26974120014347,44.28396150004119,44.28396150004119,45.501640600152314,right,1.2095293998718262,None,45.28418490011245,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
22,0,22,0,45.51737180002965,,45.50252000009641,45.51737180002965,45.51737180002965,46.535806600004435,left,1.0124656001571566,None,46.536392600042745,46.550676400074735,46.550676400074735,47.80192140000872,left,1.2393656000494957,None,47.80247350013815,47.81746760010719,47.81746760010719,48.418473600177094,right,0.595246700104326,None,,07,001,2024-11-29_14h08.04.089,colour discrimination task,2024.1.5,None,2024-11-29 14h08.21.753252 +0530,
