reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,4,0,28,5,45.3698841999867,,45.35501509997994,45.3698841999867,46.369960899988655,46.369960899988655,46.369960899988655,46.73773649998475,t,0.3588258999516256,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,4,1,29,3,46.75330560002476,,46.738412800012156,46.75330560002476,47.75333620002493,47.75333620002493,47.75333620002493,48.155952300003264,l,0.4006824000389315,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,4,2,30,0,48.17275049997261,,48.157540199987125,48.17275049997261,49.170049000007566,49.170049000007566,49.18678029999137,49.47124149999581,l,0.2988240999984555,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,4,3,31,4,49.48669879999943,,49.47182310000062,49.48669879999943,50.48675189999631,50.48675189999631,50.48675189999631,50.77115300000878,t,0.2684305000002496,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,4,4,32,6,50.78685179998865,,50.771828999975696,50.78685179998865,51.78688729996793,51.78688729996793,51.78688729996793,52.17119089997141,t,0.3699686999898404,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,4,5,33,2,52.186759800009895,,52.171809200022835,52.186759800009895,53.18692369997734,53.18692369997734,53.18692369997734,53.554681300011,l,0.3544638999737799,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,4,6,34,1,53.5701226000092,,53.555261500005145,53.5701226000092,54.570201199967414,54.570201199967414,54.570201199967414,55.171089500014205,l,0.5838031999883242,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,5,0,35,3,55.18677759997081,,55.17174479999812,55.18677759997081,56.186920600011945,56.186920600011945,56.186920600011945,56.571325699973386,t,0.36708890000591055,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,5,1,36,0,56.58688259997871,,56.571945199975744,56.58688259997871,57.58706069999607,57.58706069999607,57.58706069999607,57.938179399992805,t,0.33765900001162663,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,5,2,37,5,57.95359729998745,,57.93876200000523,57.95359729998745,58.953828700003214,58.953828700003214,58.953828700003214,59.73823869996704,t,0.7744991999934427,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,5,3,38,6,59.753788199974224,,59.73907070001587,59.753788199974224,60.753836299991235,60.753836299991235,60.753836299991235,61.05506189999869,l,0.2998998000402935,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,5,4,39,1,61.07054099999368,,61.05589519999921,61.07054099999368,62.07048980001127,62.07048980001127,62.07048980001127,62.287936299981084,l,0.20709370000986382,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,5,5,40,2,62.303775499982294,,62.28854779998073,62.303775499982294,63.303820199973416,63.303820199973416,63.303820199973416,63.604912300012074,t,0.2921999000245705,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,5,6,41,4,63.62038779997965,,63.60549119999632,63.62038779997965,64.62047660001554,64.62047660001554,64.62047660001554,65.18833630002337,t,0.551364500017371,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,6,0,42,2,65.20376810000744,,65.18891610001447,65.20376810000744,66.20392499997979,66.20392499997979,66.20392499997979,66.6550163999782,l,0.4366607999545522,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,6,1,43,0,66.67051059997175,,66.65559530002065,66.67051059997175,67.67068109998945,67.67068109998945,67.67068109998945,68.15514380001696,l,0.4795194999896921,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,6,2,44,3,68.17067049996695,,68.1557208999875,68.17067049996695,69.17044600000372,69.17044600000372,69.17044600000372,69.40498699998716,t,0.22598849999485537,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,6,3,45,6,69.42069499997888,,69.40556350001134,69.42069499997888,70.42066539998632,70.42066539998632,70.42066539998632,70.83846280002035,l,0.4129059999831952,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,6,4,46,5,70.85393330000807,,70.83903959998861,70.85393330000807,71.85399450000841,71.85399450000841,71.85399450000841,72.77178999996977,t,0.9030077999923378,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,6,5,47,4,72.78729519998888,,72.77236160001485,72.78729519998888,73.78734310000436,73.78734310000436,73.78734310000436,74.20524649997242,l,0.40202969999518245,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,6,6,48,1,74.22058859997196,,74.20582179998746,74.22058859997196,75.22084530000575,75.22084530000575,75.22084530000575,76.57205860002432,t,1.3355868000071496,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,7,0,49,1,76.5874446000089,,76.57264650001889,76.5874446000089,77.58741279999958,77.58741279999958,77.58741279999958,78.25511829997413,l,0.664811099995859,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,7,1,50,2,78.27094680001028,,78.2556929999846,78.27094680001028,79.27094209997449,79.27094209997449,79.27094209997449,79.42165309999837,l,0.1469444000395015,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,7,2,51,6,79.4373990999884,,79.4223720000009,79.4373990999884,80.43767650000518,80.43767650000518,80.43767650000518,80.72207020001952,l,0.2701167000341229,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,7,3,52,5,80.73764160001883,,80.7226476999931,80.73764160001883,81.73772779997671,81.73772779997671,81.73772779997671,82.72214670001995,t,0.9810953999985941,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,7,4,53,3,82.73764780000784,,82.72280160000082,82.73764780000784,83.73773439996876,83.73773439996876,83.73773439996876,84.07219590002205,l,0.3245310999918729,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,7,5,54,4,84.08752230001846,,84.07277029997203,84.08752230001846,85.08781389996875,85.08781389996875,85.08781389996875,85.25560510001378,t,0.15051279996987432,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,7,6,55,0,85.27110519999405,,85.25656279997202,85.27110519999405,86.27121699997224,86.27121699997224,86.27121699997224,86.3390703999903,t,0.06675579998409376,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,8,0,56,0,86.35431339999195,,86.33976659999462,86.35431339999195,87.35424880002392,87.35424880002392,87.35424880002392,87.40544130001217,t,0.03797070001019165,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,8,1,57,6,87.4211238999851,,87.40599850000581,87.4211238999851,88.42109159997199,88.42109159997199,88.42109159997199,88.62221699999645,l,0.19799280003644526,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,8,2,58,5,88.63783040002454,,88.62288589996751,88.63783040002454,89.63784819998546,89.63784819998546,89.63784819998546,89.7222577999928,l,0.07366539997747168,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,8,3,59,2,89.73776430002181,,89.72293920000084,89.73776430002181,90.73794389999239,90.73794389999239,90.73794389999239,90.88895150000462,l,None,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,8,4,60,3,90.90438030002406,,90.88973900000565,90.90438030002406,91.90459920000285,91.90459920000285,91.90459920000285,93.03923860000214,l,1.1296186000108719,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,8,5,61,1,93.05458310001995,,93.03979680000339,93.05458310001995,94.054714399972,94.054714399972,94.054714399972,94.4228578999755,t,0.3546335999853909,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,8,6,62,4,94.43800610001199,,94.42390799999703,94.43800610001199,95.43807789997663,95.43807789997663,95.43807789997663,95.78928700002143,t,0.3498276000027545,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
78,80,162,9,0,63,6,95.80461059999652,,95.78984260000288,95.80461059999652,96.80487280001398,96.80487280001398,96.80487280001398,97.13896750001004,l,0.3267543000401929,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
27,50,21,9,1,64,2,97.15470349998213,,97.13955889997305,97.15470349998213,98.15483219997259,98.15483219997259,98.15483219997259,98.48961280001095,t,0.3278829999617301,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,9,2,65,3,98.50478000001749,,98.49061619996792,98.50478000001749,99.5049329000176,99.5049329000176,99.5049329000176,99.82252609997522,t,0.3161415999638848,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
15,35,13,9,3,66,1,99.83830250002211,,99.82303269999102,99.83830250002211,100.83813440002268,100.83813440002268,100.83813440002268,101.105909099977,l,0.2566615999676287,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
67,75,119,9,4,67,5,101.12151969998376,,101.106469499995,101.12151969998376,102.12164420000045,102.12164420000045,102.12164420000045,102.6892626999761,l,0.5577588999876752,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,9,5,68,0,102.70497570000589,,102.68991040001856,102.70497570000589,103.70476709998911,103.70476709998911,103.70476709998911,103.88936500001,l,0.1734763000276871,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,9,6,69,4,103.90488699998241,,103.8899324000231,103.90488699998241,104.90493630000856,104.90493630000856,104.90493630000856,105.3061052999692,l,0.39526520000072196,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
40,55,62,10,0,70,3,105.32165870000608,,105.30665799998678,105.32165870000608,106.32168029999593,106.32168029999593,106.32168029999593,106.68940480001038,t,0.3606992000131868,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
49,60,89,10,1,71,4,106.70503299997654,,106.6899953999673,106.70503299997654,107.70497820002493,107.70497820002493,107.70497820002493,108.50594260002254,t,0.7920355999958701,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
11,30,7,10,2,72,0,108.52181940001901,,108.50664819998201,108.52181940001901,109.52154519996839,109.52154519996839,109.52154519996839,109.77272299997276,t,0.24075769999762997,None,23,001,2024-11-20_20h51.33.321,delay discounting task,2024.1.5,None,2024-11-20 20h51.43.163944 +0530,
